Etape;Souhait EQ5;Obtenus EQ5;Souhait EQ7;Obtenus EQ7;Souhait EQ4;Obtenus EQ4;Souhait EQ6;Obtenus EQ6;Souhait EQXT;Obtenus EQXT;Souhait EQ1;Obtenus EQ1;Souhait EQ2;Obtenus EQ2;Souhait EQ3;Obtenus EQ3;Souhait EQ4;Obtenus EQ4;
0;333.0;333.0;0.0;0.0;0.0;0.0;10000.0;10000.0;0.0;0.0;255937.49999999997;8130.311131594856;46964.37375;1491.9070893792677;22375.0;710.7817790258753;0.0;0.0;
1;899.0999999999985;899.0999999999985;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;298994.6888684051;1549.2759273123368;42058.531452919866;217.93119658655925;25454.0;131.89287610110242;0.0;0.0;
2;2427.5699999999997;2427.5699999999997;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;348632.9129410928;2887.6041800746348;36080.40344233743;298.8413311868714;29112.0;241.12448873849365;0.0;0.0;
3;5757.57;5757.569999999999;0.0;0.0;0.0;0.0;1000.0;999.9999999999999;0.0;0.0;396932.80876101815;5815.877112340731;31610.409375693856;463.1571196486933;32660.0;478.53576801057443;0.0;0.0;
4;12417.57;12417.57;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;442304.43164867745;11728.42607116196;27730.287869694905;735.3139782015306;35971.0;953.8299506365083;0.0;0.0;
5;19077.57;19077.57;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;481763.50557751546;17638.176850522384;27821.80212244311;1018.6032367637135;38807.0;1420.789912713903;0.0;0.0;
6;25737.570000000003;25737.570000000003;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;515312.82872699306;23579.227017697518;27848.088664093393;1274.2481227214034;41176.0;1884.09485958108;0.0;0.0;
7;32397.570000000003;32397.570000000003;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;542921.1017092955;29536.75654829371;27885.393661647395;1517.0603633645978;43081.0;2343.753088341703;0.0;0.0;
8;35727.57000000001;35727.57000000001;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;564571.8451610018;32702.653916873845;24958.31778016474;1445.7030326748331;44527.0;2579.213050451327;0.0;0.0;
9;39057.57000000001;39057.57000000001;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;583056.6912441279;35728.52646365906;24909.008956402813;1526.373333926337;45737.0;2802.670202414613;0.0;0.0;
10;42387.57000000001;42387.57;0.0;0.0;0.0;0.0;1000.0;999.9999999999999;0.0;0.0;598515.6647804689;38748.62680122315;24929.6404435142;1613.9750230075076;46724.0;3024.968175769343;0.0;0.0;
11;45000.0;45000.0;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;610954.5379792458;41124.03359645663;24950.24150319355;1679.4286743670825;47489.0;3196.537729176292;0.0;0.0;
12;45000.0;44999.99999999999;0.0;0.0;0.0;0.0;1000.0;999.9999999999999;0.0;0.0;621018.0043827891;41158.44837511202;24969.60536669518;1654.8799007098894;48082.0;3186.6717241780852;0.0;0.0;
13;45000.0;44999.99999999999;0.0;0.0;0.0;0.0;1000.0;999.9999999999999;0.0;0.0;631047.0560076771;41193.02892089503;24954.278956846592;1628.9471997108224;48685.0;3178.0238793941485;0.0;0.0;
14;45000.0;45000.0;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;641041.527086782;41226.980626458535;24920.04933314393;1602.6705722745364;49296.0;3170.3488012669272;0.0;0.0;
15;45000.0;45000.0;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;651002.0464603235;41258.79255144769;24894.163352313903;1577.7264097395882;49915.0;3163.481038812721;0.0;0.0;
16;45000.0;44999.99999999999;0.0;0.0;0.0;0.0;1000.0;999.9999999999999;0.0;0.0;660930.7539088759;41289.57850646004;24859.683212758933;1553.030836571505;50541.0;3157.3906569684477;0.0;0.0;
17;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;670828.6754024158;41810.5544925273;0.0;800.4530686149831;51173.0;3189.4455074727034;0.0;0.0;
18;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;680205.6209098885;41817.140646670865;0.0;1247.807154681999;51773.0;3182.859353329135;0.0;0.0;
19;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;689575.9802632177;41823.12689337204;0.0;1241.305748317289;52380.0;3176.8731066279574;0.0;0.0;
20;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;698940.3533698457;41828.595261384726;0.0;0.0;52993.0;3171.4047386152715;0.0;0.0;
21;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;708299.2581084609;41833.62315400592;0.0;0.0;53611.0;3166.3768459940748;0.0;0.0;
22;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;717653.134954455;41838.22946453952;0.0;0.0;54234.0;3161.7705354604764;0.0;0.0;
23;45000.0;44999.99999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;727002.4054899154;41842.43203467862;0.0;0.0;54862.0;3157.5679653213765;0.0;0.0;
24;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;736347.4734552368;41846.30057440257;0.0;0.0;55494.0;3153.6994255974264;0.0;0.0;
25;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;745688.6728808342;41849.848868042776;0.0;0.0;56130.0;3150.1511319572255;0.0;0.0;
26;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;755026.3240127914;41853.141519253506;0.0;0.0;56769.0;3146.858480746493;0.0;0.0;
27;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;764360.6824935379;41856.13788942136;0.0;0.0;57412.0;3143.862110578634;0.0;0.0;
28;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;773692.0446041166;41858.90007827591;0.0;0.0;58058.0;3141.099921724091;0.0;0.0;
29;45000.0;44999.99999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;783020.6445258406;41116.86133621109;15243.655700626194;0.0;58706.0;3082.6855951739212;0.0;0.0;
30;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;793091.2831896296;40703.00108783723;24313.317225536586;0.0;59413.0;3049.1917574807794;0.0;0.0;
31;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;803575.7821017923;40711.190463611354;24501.45098122568;0.0;60153.0;3047.5037880713553;0.0;0.0;
32;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;814052.0916381809;41868.06776525272;0.0;0.0;60895.0;3131.932234747279;0.0;0.0;
33;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;823371.5238729282;41869.91949564532;0.0;0.0;61553.0;3130.0805043546798;0.0;0.0;
34;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;832689.1043772829;41871.67667320283;0.0;0.0;62212.0;3128.3233267971664;0.0;0.0;
35;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;842004.92770408;41873.296481903744;0.0;0.0;62873.0;3126.70351809626;0.0;0.0;
36;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;851319.1312221762;41874.783883891614;0.0;0.0;63536.0;3125.2161161083886;0.0;0.0;
37;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;860631.8473382846;41876.188889564415;0.0;0.0;64200.0;3123.811110435585;0.0;0.0;
38;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;869943.1584487202;41877.469616532304;0.0;0.0;64866.0;3122.5303834676997;0.0;0.0;
39;45000.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;879253.1888321879;41878.674736296554;0.0;0.0;65533.0;3121.3252637034434;0.0;0.0;
40;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888562.0140958914;0.0;0.0;0.0;66201.0;0.0;0.0;0.0;
41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939749.5140958914;0.0;0.0;0.0;69991.0;0.0;0.0;0.0;
42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;990937.0140958914;0.0;0.0;0.0;73781.0;0.0;0.0;0.0;
43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1042124.5140958914;0.0;0.0;0.0;77571.0;0.0;0.0;0.0;
44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1093312.0140958913;0.0;16962.786167040827;0.0;81361.0;0.0;0.0;0.0;
45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1144499.5140958913;0.0;17532.791928977207;0.0;85151.0;0.0;0.0;0.0;
